description,country,variety
"Ripe pear, apple and tropical fruit in the nose leads into easy-drinking yellow fruit flavors on the palate. Creamy with a clean finish—a great everyday sip that will pair well with poultry, salads, cheeses.",Egypt,Grenache
"This fresh, approachable Chenin starts with bright, fresh white fruit aromas and a friendly array of peach, pear and apple on the palate. Clean but with some curve.",Egypt,Chenin Blanc
"The character of this feminine, aromatic Viognier is floral and exotic—not terribly complex but fun. The palate offers flowers and honey with a minerality and spritz. An easygoing white.",Egypt,Viognier
